,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
3,sgd,symmetric-door,logloss,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,626,4.318706353505451,0.0,0.8000000119209291
4,sgd,symmetric-door,logloss,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,353,4.991699536641439,0.0,1.1399999856948853
5,sgd,symmetric-door,logloss,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,413,4.76343297958374,0.0,0.9399999976158142
6,sgd,symmetric-door,logloss,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,575,4.328230301539104,0.0,1.1399999856948853
7,sgd,symmetric-door,logloss,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,474,4.645335833231608,0.0,1.0599999427795408
8,sgd,symmetric-door,logloss,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,369,4.7988066408369265,0.0,1.0599999427795408
9,sgd,symmetric-door,logloss,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,369,5.0387154950035935,0.0,1.0399999618530271
0,sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,5104,280.470458984375,0.47509765625,0.8199999928474426
1,sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,7610,274.2343635559082,0.47314453125,0.9399999976158142
2,sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,15892,267.58673286437994,0.439453125,0.8600000143051147
3,sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,11264,268.5832805633545,0.4501953125,0.8999999761581421
4,sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,9815,274.22345733642584,0.4677734375,1.0199999809265137
5,sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,8927,275.6037979125977,0.462890625,0.8999999761581421
6,sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,8775,269.91779327392584,0.458984375,0.9399999976158142
7,sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,11154,270.6601982116699,0.45458984375,0.8600000143051147
