,optim,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,weightdecay,ntest,startseed,nruns,seed,epoch,train loss,test loss
1,gd,2.0,1024,1,2048,0.001,0.0,False,8000,0,100,22,10,24,7100,425.0993041992188,634.1031494140625
2,gd,2.0,1024,1,2048,0.001,0.0,False,8000,0,100,22,10,25,6700,424.2290344238281,577.7164916992188
3,gd,2.0,1024,1,2048,0.001,0.0,False,8000,0,100,22,10,26,6900,411.1742858886719,679.736328125
4,gd,2.0,1024,1,2048,0.001,0.0,False,8000,0,100,22,10,27,7200,425.4710693359375,760.6080932617188
5,gd,2.0,1024,1,2048,0.001,0.0,False,8000,0,100,22,10,28,9900,409.75439453125,779.8916015625
6,gd,2.0,1024,1,2048,0.001,0.0,False,8000,0,100,22,10,29,7500,369.4177551269531,669.5631103515625
7,gd,2.0,1024,1,2048,0.001,0.0,False,8000,0,100,22,10,30,7200,438.57305908203125,665.7562866210938
8,gd,2.0,1024,1,2048,0.001,0.0,False,8000,0,100,22,10,31,12000,396.88580322265625,662.9713134765625
9,gd,2.0,1024,1,2048,0.001,0.0,False,8000,0,100,22,10,32,7800,420.5829162597656,581.64599609375
0,gd,7.0,1024,2,7168,0.001,0.0,False,8000,0,100,22,10,23,2600,2.273714542388916,0.2013113498687744
1,gd,7.0,1024,2,7168,0.001,0.0,False,8000,0,100,22,10,24,3800,1.58878755569458,0.2567670047283173
2,gd,7.0,1024,2,7168,0.001,0.0,False,8000,0,100,22,10,25,6500,1.964409589767456,0.320804238319397
3,gd,7.0,1024,2,7168,0.001,0.0,False,8000,0,100,22,10,26,3400,1.554779291152954,0.14861346781253815
4,gd,7.0,1024,2,7168,0.001,0.0,False,8000,0,100,22,10,27,3400,1.967024087905884,0.21787412464618686
5,gd,7.0,1024,2,7168,0.001,0.0,False,8000,0,100,22,10,28,3200,1.910702109336853,0.2316464930772781
6,gd,7.0,1024,2,7168,0.001,0.0,False,8000,0,100,22,10,29,3000,1.84224796295166,0.18697431683540344
7,gd,7.0,1024,2,7168,0.001,0.0,False,8000,0,100,22,10,30,4000,1.1992145776748655,0.126381516456604
8,gd,7.0,1024,2,7168,0.001,0.0,False,8000,0,100,22,10,31,3600,1.653602123260498,0.2269985228776932
9,gd,7.0,1024,2,7168,0.001,0.0,False,8000,0,100,22,10,32,3300,2.494638681411743,0.20715604722499847
0,gd,2.5,1024,10,2560,0.01,0.0,False,10000,0,100,37,5,38,78700,0.2139044851064682,79.87925720214844
1,gd,2.5,1024,10,2560,0.01,0.0,False,10000,0,100,37,5,39,75000,0.2595358788967133,92.00019073486328
2,gd,2.5,1024,10,2560,0.01,0.0,False,10000,0,100,37,5,40,61100,0.20131605863571167,73.01203918457031
3,gd,2.5,1024,10,2560,0.01,0.0,False,10000,0,100,37,5,41,83000,0.1261705607175827,64.22013854980469
4,gd,2.5,1024,10,2560,0.01,0.0,False,10000,0,100,37,5,42,81200,0.17402519285678866,90.17215728759766
0,gd,5.0,1024,2,5120,0.001,0.0,False,8000,0,100,22,10,23,4100,2.542633533477783,0.6370804309844971
1,gd,5.0,1024,2,5120,0.001,0.0,False,8000,0,100,22,10,24,9200,2.5203216075897217,1.0220048427581787
2,gd,5.0,1024,2,5120,0.001,0.0,False,8000,0,100,22,10,25,5600,2.619058609008789,0.6514540910720825
